sub_characteristic,characteristic,gap_value
accuracy,utility,1
effectiveness,utility,1
responsiveness,utility,0
usability,utility,0
cost_effectiveness,economy,0
efficiency,economy,0
availability,robustness,0
resilience,robustness,0
adaptability,robustness,0
scalability,robustness,0
maintainability,modifiability,2
modularity,modifiability,1
testability,modifiability,2
repeatability,productionizability,0
operability,productionizability,0
monitoring,productionizability,1
discoverability,comprehensibility,2
traceability,comprehensibility,1
understandability,comprehensibility,1
explainability,responsibility,0
fairness,responsibility,2
ownership,responsibility,0
standards_compliance,responsibility,0
vulnerability,responsibility,0
readability,comprehensibility,2
