sub_characteristic,characteristic,gap_value
accuracy,utility,0
effectiveness,utility,2
responsiveness,utility,2
usability,utility,0
cost_effectiveness,economy,2
efficiency,economy,0
availability,robustness,0
resilience,robustness,2
adaptability,robustness,0
scalability,robustness,0
maintainability,modifiability,0
modularity,modifiability,0
testability,modifiability,2
repeatability,productionizability,0
operability,productionizability,0
monitoring,productionizability,1
discoverability,comprehensibility,0
traceability,comprehensibility,0
understandability,comprehensibility,1
explainability,responsibility,0
fairness,responsibility,0
ownership,responsibility,0
standards_compliance,responsibility,0
vulnerability,responsibility,0
readability,comprehensibility,0
