sub_characteristic,characteristic,gap_value
accuracy,utility,0
effectiveness,utility,2
responsiveness,utility,0
usability,utility,0
cost_effectiveness,economy,2
efficiency,economy,1
availability,robustness,0
resilience,robustness,0
adaptability,robustness,0
scalability,robustness,0
maintainability,modifiability,1
modularity,modifiability,0
testability,modifiability,2
repeatability,productionizability,2
operability,productionizability,0
monitoring,productionizability,2
discoverability,comprehensibility,0
traceability,comprehensibility,0
understandability,comprehensibility,0
explainability,responsibility,2
fairness,responsibility,2
ownership,responsibility,0
standards_compliance,responsibility,0
vulnerability,responsibility,0
readability,comprehensibility,1
